year,player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2019,Josh Jacobs,45953,HB,13,OAK,181,34,18.8,0,0,0,0,100
2019,Nick Bellore,6515,FB,5,SEA,6,2,33.3,0,0,0,0,100
2019,Jake McQuaide,6586,LS,3,LA,3,3,100,0,0,0,0,100
2019,Patrick DiMarco,6997,FB,12,BUF,61,7,11.5,0,0,0,0,100
2019,Craig Robertson,7003,ED,2,NO,2,2,100,0,0,0,0,100
2019,Qadree Ollison,45934,HB,4,ATL,30,1,3.3,0,0,0,0,100
2019,Dexter Williams,45913,HB,1,GB,2,1,50,0,0,0,0,100
2019,Devine Ozigbo,45903,HB,4,JAX,19,3,15.8,0,0,0,0,100
2019,Jon Hilliman,45826,HB,3,NYG,60,14,23.3,0,0,0,0,100
2019,Matt Orzech,94369,LS,3,JAX,3,3,100,0,0,0,0,100
2019,Alexander Mattison,45817,HB,12,MIN,78,5,6.4,0,0,0,0,100
2019,Kirk Cousins,7102,QB,15,MIN,483,1,0.2,0,0,0,0,100
2019,Ryan Nall,45753,HB,3,CHI,6,1,16.7,0,0,0,0,100
2019,Derrius Guice,45664,HB,5,WAS,48,9,18.8,0,0,0,0,100
2019,Jarius Wright,7118,WR,16,CAR,508,1,0.2,0,0,0,0,100
2019,DaeSean Hamilton,45416,WR,16,DEN,392,1,0.3,0,0,0,0,100
2019,Dru Samia,45376,G,1,MIN,14,14,100,0,0,0,0,100
2019,Leon Jacobs,44980,LB,2,JAX,2,2,100,0,0,0,0,100
2019,Khari Blasingame,44889,HB,6,TEN,18,5,27.8,0,0,0,0,100
2019,Byron Pringle,42345,WR,12,KC,77,1,1.3,0,0,0,0,100
2019,Ian Thomas,42130,TE,14,CAR,200,17,8.5,0,0,0,0,100
2019,Aaron Brewer,7301,LS,1,ARZ,1,1,100,0,0,0,0,100
2019,Cole Beasley,7330,WR,15,BUF,474,4,0.8,0,0,0,0,100
2019,Jesper Horsted,91465,TE,6,CHI,86,2,2.3,0,0,0,0,100
2019,Johnson Bademosi,7374,CB,1,NO,1,1,100,0,0,0,0,100
2019,Derek Carrier,7406,TE,15,OAK,91,10,11,0,0,0,0,100
2019,Beau Brinkley,7418,LS,2,TEN,2,2,100,0,0,0,0,100
2019,Ben Powers,41482,G,1,BLT,11,11,100,0,0,0,0,100
2019,Brandon Bolden,7469,HB,8,NE,55,4,7.3,0,0,0,0,100
2019,Jamize Olawale,7572,FB,14,DAL,44,8,18.2,0,0,0,0,100
2019,Javon Wims,41406,WR,16,CHI,288,1,0.3,0,0,0,0,100
2019,Dalyn Dawkins,39541,HB,2,TEN,8,2,25,0,0,0,0,100
2019,Bradley Sowell,7693,TE,5,CHI,9,8,88.9,0,0,0,0,100
2019,Joe Giles-Harris,39382,ED,2,JAX,2,2,100,0,0,0,0,100
2019,Nick Allegretti,39268,G,1,KC,2,2,100,0,0,0,0,100
2019,Cullen Gillaspia,38844,FB,3,HST,3,1,33.3,0,0,0,0,100
2019,Tavon Austin,7789,WR,14,DAL,150,1,0.7,0,0,0,0,100
2019,Jordan Kunaszyk,38548,LB,1,CAR,1,1,100,0,0,0,0,100
2019,Trey Quinn,38276,WR,12,WAS,295,2,0.7,0,0,0,0,100
2019,Troy Reeder,38268,LB,3,LA,3,3,100,0,0,0,0,100
2019,Tyler Eifert,7802,TE,16,CIN,378,29,7.7,0,0,0,0,100
2019,Cordarrelle Patterson,7810,WR,14,CHI,133,7,5.3,0,0,0,0,100
2019,Zach Gentry,36049,TE,3,PIT,23,1,4.3,0,0,0,0,100
2019,Manti Te'o,7819,LB,2,NO,2,2,100,0,0,0,0,100
