player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
Ameer Abdullah,9487,HB,16,DET,190,19,10.0,1,1,0,2,92.1
Thomas Rawls,9993,HB,12,SEA,112,19,17.0,1,0,1,2,92.1
LeSean McCoy,4976,HB,12,BUF,322,69,21.4,1,1,8,10,92.0
Justin Forsett,4547,HB,10,BLT,285,69,24.2,3,1,4,8,92.0
Ahmad Bradshaw,3866,HB,6,IND,115,25,21.7,1,0,2,3,92.0
Cory Harkey,7306,FB,16,SL,80,31,38.8,1,1,2,4,91.9
Earl Watford,7898,G,5,ARZ,97,97,100.0,1,5,9,15,91.8
Fitzgerald Toussaint,9244,HB,2,PIT,19,6,31.6,0,1,0,1,91.7
Roosevelt Nix,10269,FB,11,PIT,28,6,21.4,0,0,1,1,91.7
C.J. Uzomah,9590,TE,4,CIN,17,6,35.3,0,0,1,1,91.7
Alex Smith,2288,TE,3,WAS,24,6,25.0,0,0,1,1,91.7
Robert Turbin,7106,HB,10,DAL,82,18,22.0,1,0,1,2,91.7
LaAdrian Waddle,8460,T,9,NE,257,257,100.0,5,6,27,38,91.6
T.J. Yeldon,9469,HB,12,JAX,390,104,26.7,3,2,10,15,91.3
Alfred Morris,7165,HB,16,WAS,154,34,22.1,1,1,3,5,91.2
Matt Asiata,6432,HB,16,MIN,148,51,34.5,2,1,4,7,91.2
David Johnson,9519,HB,16,ARZ,251,39,15.5,1,0,5,6,91.0
Terron Ward,9778,HB,12,ATL,73,22,30.1,1,0,2,3,90.9
Mark Ingram II,6180,HB,12,NO,317,49,15.5,1,1,6,8,90.8
Jeremy Langford,9539,HB,15,CHI,209,43,20.6,0,1,7,8,90.7
Branden Oliver,9286,HB,6,SD,55,16,29.1,0,0,3,3,90.6
David Cobb,9571,HB,7,TEN,53,21,39.6,1,0,2,3,90.5
Jorvorskie Lane,7002,FB,14,TB,49,15,30.6,1,0,1,2,90.0
Chris Johnson,4338,HB,11,ARZ,140,25,17.9,1,2,1,4,90.0
Ronnie Hillman,7069,HB,16,DEN,281,55,19.6,1,1,8,10,90.0
Juwan Thompson,8955,HB,8,DEN,42,10,23.8,0,0,2,2,90.0
