player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Ethan Westbrooks,8976,ED,13,SL,278,165,112,1,53.3,53.2,68.3,58.5,60.3,13,2,2,9,0,15,2,1,12,0,0,0,0,,0,,0,0,0,0.0,2,0
Denico Autry,8982,DI,14,OAK,684,457,224,3,59.6,64.2,52.7,60.0,50.4,35,3,5,27,3,20,5,6,19,0,0,0,0,,0,,0,0,0,0.0,4,0
Nikita Whitlock,8994,FB,11,NYG,61,58,2,1,82.4,56.7,72.4,82.6,59.5,8,1,3,4,0,0,0,1,1,0,0,0,0,,0,,0,0,0,0.0,0,0
Shaquil Barrett,9000,ED,16,DEN,498,224,200,74,78.0,78.9,74.6,69.9,61.4,26,6,6,14,1,26,17,2,23,3,15,11,78,7.1,63,18,0,0,0,84.9,0,0
Josh Mauro,9003,ED,14,ARZ,247,140,105,2,61.7,77.3,50.1,51.3,41.5,7,1,1,5,1,14,1,3,13,2,2,1,9,9.0,9,9,0,0,0,62.5,2,0
Todd Davis,9007,LB,15,DEN,130,5,80,45,69.7,67.8,69.4,61.3,65.0,2,0,0,2,0,9,4,2,5,0,3,2,7,3.5,3,4,1,0,0,109.7,0,0
Kasim Edebali,9011,ED,16,NO,358,284,57,17,49.6,38.1,45.1,51.9,65.5,20,5,1,14,2,12,0,2,7,0,1,1,12,12.0,15,12,0,0,0,116.7,0,0
Christian Jones,9020,LB,15,CHI,743,44,303,396,66.2,55.6,86.4,68.8,69.6,10,1,5,4,0,70,14,4,35,0,44,30,298,9.9,294,40,1,0,3,94.7,1,0
Robert Thomas,9022,DI,1,MIA,21,11,10,0,51.3,48.9,66.8,62.3,,1,0,0,1,0,0,0,1,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Malcolm Butler,9040,CB,16,NE,1087,1,386,700,73.3,62.1,70.9,60.0,73.8,0,0,0,0,0,57,6,7,22,0,106,58,908,15.7,308,87,7,2,15,97.5,6,2
Dion Bailey,9042,S,5,NYJ,155,7,48,100,71.3,79.0,78.1,66.6,64.1,1,1,0,0,0,19,1,1,10,0,13,10,105,10.5,29,37,1,0,1,125.5,0,0
Kerry Hyder,9045,DI,1,DET,2,0,2,0,59.9,60.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Deji Olatoye,9061,CB,3,DAL,139,0,76,63,59.1,78.9,82.3,73.2,48.8,0,0,0,0,0,10,1,0,4,0,9,6,99,16.5,17,39,1,1,0,100.9,0,0
Chris McCain,9063,LB,7,MIA,43,27,10,6,63.4,49.2,78.0,66.8,62.0,2,1,0,1,0,0,0,0,1,1,0,0,0,,0,,0,0,0,0.0,0,0
Craig Loston,9064,S,3,JAX,3,0,3,0,64.3,60.2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Greg Ducre,9078,CB,3,SD,43,0,8,35,68.8,64.6,54.4,,68.1,0,0,0,0,0,6,0,1,2,0,6,5,107,21.4,75,72,1,0,1,158.3,0,0
