year,player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
2015,Reggie Nelson,3637,S,16,CIN,70,8,3,67,47,1,0,107.8,0.96,8.8,23.3
2015,Ray-Ray Armstrong,8271,LB,4,SF,23,2,1,7,0,0,0,58.3,0.3,11.5,23
2015,Damarious Randall,9463,CB,12,GB,22,2,1,20,8,0,0,85.4,0.91,11,22
2015,Joplo Bartu,8455,LB,3,JAX,22,2,1,7,0,0,0,58.3,0.32,11,22
2015,David Harris,3663,LB,14,NYJ,42,5,2,16,10,0,0,48.8,0.38,8.4,21
2015,Jamar Taylor,7835,CB,8,MIA,21,3,1,5,0,0,0,42.4,0.24,7,21
2015,Chris Conte,6245,S,11,TB,41,5,2,0,0,1,0,87.5,0,8.2,20.5
2015,Jordan Richards,9497,S,9,NE,40,6,2,10,1,1,0,81.9,0.25,6.7,20
2015,Earl Thomas III,5539,S,10,SEA,20,3,1,13,2,0,1,8.3,0.65,6.7,20
2015,Brian Orakpo,4936,ED,13,TEN,20,1,1,2,0,0,0,79.2,0.1,20,20
2015,Bacarri Rambo,7972,S,9,BUF,40,4,2,14,3,0,0,58.3,0.35,10,20
2015,Luke Kuechly,7015,LB,8,CAR,20,3,1,6,5,0,0,42.4,0.3,6.7,20
2015,Dontae Johnson,8764,CB,9,SF,19,5,1,9,0,0,0,39.6,0.47,3.8,19
2015,Ronald Darby,9483,CB,9,BUF,19,5,1,5,0,0,0,39.6,0.26,3.8,19
2015,Will Hill III,6999,S,15,BLT,74,8,4,48,36,0,0,68.8,0.65,9.3,18.5
2015,Chris Clemons,5089,S,6,ARZ,18,1,1,8,9,0,0,100,0.44,18,18
2015,Cody Riggs,10108,CB,8,TEN,88,10,5,20,20,0,0,56.3,0.23,8.8,17.6
2015,Nate Orchard,9484,ED,9,CLV,17,2,1,6,5,0,0,56.3,0.35,8.5,17
2015,Denzel Perryman,9481,LB,5,SD,17,1,1,8,1,0,0,100,0.47,17,17
2015,Dion Bailey,9042,S,5,NYJ,17,1,1,5,0,0,0,87.5,0.29,17,17
2015,Chris Harris Jr.,6457,CB,16,DEN,335,35,20,147,67,0,2,43.4,0.44,9.6,16.8
2015,Darqueze Dennard,8659,CB,4,CIN,50,6,3,73,12,1,1,94.4,1.46,8.3,16.7
2015,Josh Bynes,6503,LB,10,DET,33,5,2,16,16,0,0,48.8,0.48,6.6,16.5
2015,William Moore,4978,S,10,ATL,49,6,3,22,18,0,1,19.4,0.45,8.2,16.3
2015,Phillip Gaines,8722,CB,3,KC,80,9,5,66,16,0,0,78.9,0.83,8.9,16
2015,T.J. Ward,5563,S,12,DEN,64,10,4,36,30,0,0,50.4,0.56,6.4,16
2015,Brian Cushing,4938,LB,9,HST,16,2,1,2,0,0,0,56.3,0.13,8,16
2015,Eric Weddle,3653,S,11,SD,79,8,5,58,42,0,0,84.4,0.73,9.9,15.8
2015,Kelcie McCray,7396,S,4,SEA,31,4,2,7,3,0,0,56.3,0.23,7.8,15.5
2015,Justin Bethel,7654,CB,11,ARZ,30,3,2,18,9,0,0,82.6,0.6,10,15
2015,Harrison Smith,7641,S,12,MIN,75,11,5,39,21,0,0,54.7,0.52,6.8,15
2015,Charles James II,8120,CB,7,HST,104,11,7,77,32,0,0,84.3,0.74,9.5,14.9
2015,Patrick Peterson,6157,CB,13,ARZ,44,6,3,80,30,1,0,135.4,1.82,7.3,14.7
2015,Christian Kirksey,8706,LB,15,CLV,44,4,3,24,1,1,0,129.2,0.55,11,14.7
2015,Aqib Talib,4334,CB,14,DEN,86,11,6,78,35,0,0,77.1,0.91,7.8,14.3
