player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Byron Marshall,11076,HB,3,WAS,2,0,2,0,0,0,0,0,0,51.6,75.8,,0,0,0,0,0,0
Hunter Sharp,11078,WR,3,NYG,42,0,0,42,0,0,0,0,0,60.4,,58.0,0,0,0,0,0,0
Rob Kelley,11090,HB,7,WAS,21,0,16,5,0,0,0,0,0,51.2,41.9,59.6,0,1,1,2,0,0
Anthony Fabiano,11094,C,3,IND,78,0,30,48,0,0,74,0,0,55.5,85.3,51.3,0,0,0,0,0,0
Patrick Onwuasor,11100,LB,2,BLT,2,0,2,0,0,0,0,0,0,60.0,,,0,0,0,0,0,0
Matt Skura,11102,G,12,BLT,737,0,430,307,1,4,0,745,0,53.4,62.4,48.5,1,1,21,23,1,1
Alex Erickson,11107,WR,14,CIN,61,0,0,61,0,0,0,0,0,66.6,,65.0,0,0,0,0,0,0
Alex Redmond,11113,G,4,CIN,104,0,58,46,2,75,0,28,0,53.4,55.6,51.9,1,0,3,4,2,1
Jake Brendel,11117,G,5,MIA,67,0,41,26,0,1,68,0,0,63.6,59.9,63.6,0,0,1,1,0,0
Ed Eagan,11121,WR,2,NYG,8,0,0,8,0,0,0,0,0,37.7,,58.4,0,0,0,0,0,0
Andy Jones,11123,WR,2,DET,3,0,0,3,0,0,0,0,0,56.8,,60.0,0,0,0,0,0,0
Jace Billingsley,11130,WR,1,DET,2,0,0,2,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
