year,player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
2016,Derek Carr,8671,QB,15,OAK,1022,643,0,379,0,0,0,0,0,85.3,,60,6,0,7,13,5,0
2016,Austin Seferian-Jenkins,8673,TE,9,NYJ,76,0,12,64,0,0,0,0,0,62.1,78.5,39.3,0,0,0,0,2,1
2016,Marqise Lee,8674,WR,16,JAX,223,1,0,222,0,0,0,0,0,71.9,,70.5,0,0,0,0,1,0
2016,Jordan Matthews,8677,WR,14,PHI,323,0,0,323,0,0,0,0,0,67.7,,37.5,0,0,0,0,2,0
2016,Weston Richburg,8678,C,16,NYG,1047,0,644,403,0,0,1061,0,0,78,86,72.5,2,1,8,11,3,1
2016,Cyrus Kouandjio,8679,T,10,BUF,406,0,220,186,381,0,0,0,16,74.8,78.7,64.8,1,0,12,13,2,1
2016,Paul Richardson Jr.,8680,WR,15,SEA,121,0,0,121,0,0,0,0,0,70.5,,68.7,0,0,0,0,1,0
2016,Stephon Tuitt,8681,DI,1,PIT,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,3,0
2016,Trent Murphy,8682,ED,1,WAS,1,0,1,0,0,0,0,0,0,60,62.7,,0,0,0,0,6,1
2016,Jace Amaro,8684,TE,3,TEN,15,0,0,15,0,0,0,0,0,80.6,,67.8,0,0,0,0,0,0
2016,Troy Niklas,8687,TE,3,ARZ,44,0,2,42,0,0,0,0,0,47,72.1,60.7,0,0,0,0,0,0
2016,Davante Adams,8688,WR,16,GB,239,0,0,239,0,0,0,0,0,70.2,,68.8,0,0,0,0,4,0
2016,Jeremy Hill,8690,HB,15,CIN,55,0,36,19,0,0,0,0,0,63.4,40.3,57.5,1,1,3,5,1,0
2016,Cody Latimer,8691,WR,12,DEN,87,0,0,87,0,0,0,0,0,60.5,,71.6,0,0,0,0,0,0
2016,Carlos Hyde,8692,HB,13,SF,77,0,43,34,0,0,0,0,0,63.6,70.7,66.8,1,2,1,4,1,0
