player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
Dre Kirkpatrick,7023,CB,15,CIN,931,338,9,3,5,3,3.4,593,30,3,9,11,4.7,4.2
Johnson Bademosi,7374,CB,8,DET,266,102,4,0,2,0,3.0,164,13,1,4,3,4.5,4.0
Thurston Armbrister,9825,LB,5,DET,62,28,5,1,1,3,7.0,34,3,0,2,2,2.5,4.0
Kayvon Webster,7871,CB,12,DEN,58,24,1,0,1,1,2.0,34,2,0,0,0,1.0e3,4.0
Deon Bush,10758,S,8,CHI,313,137,7,1,3,1,3.7,176,9,1,3,1,4.3,4.0
Manti Te'o,7819,LB,3,SD,138,30,5,2,1,4,8.0,108,8,0,4,2,3.0,4.0
Lorenzo Doss,9597,CB,5,DEN,66,9,0,0,0,0,,57,3,0,1,2,4.0,4.0
Carl Bradford,8756,LB,4,SF,33,19,2,0,1,2,3.0,14,0,1,0,0,1.0e3,4.0
Marcus Cromartie,8525,S,3,SF,29,18,2,0,0,0,1.0e3,11,1,0,1,0,2.0,4.0
Brandon Dunn,9262,DI,2,HST,42,31,3,0,1,3,4.0,11,0,0,0,0,,4.0
Kyle Wilber,7113,LB,8,DAL,49,19,1,0,0,1,1.0e3,30,2,0,1,0,3.0,4.0
Derron Smith,9630,S,9,CIN,100,35,0,2,0,0,1.0e3,65,4,0,2,1,3.0,4.0
Stephon Tuitt,8681,DI,14,PIT,723,250,25,5,7,22,5.3,473,6,0,5,8,2.2,4.0
Sharrod Neasman,11050,S,3,ATL,20,10,3,0,1,1,4.0,10,0,0,0,0,,4.0
Jeron Johnson,6621,S,2,SEA,18,6,1,0,0,0,1.0e3,12,1,1,1,0,3.0,4.0
Demarcus Lawrence,8669,ED,9,DAL,305,70,8,1,3,7,4.0,235,1,1,1,2,3.0,3.8
Cody Davis,8458,S,15,LA,261,86,2,1,3,0,2.0,175,6,2,1,0,9.0,3.8
Cassius Marsh,8743,ED,16,SEA,363,96,7,1,2,4,5.0,267,3,0,2,5,2.5,3.8
Javien Elliott,11418,CB,5,TB,175,49,2,0,1,1,3.0,126,7,2,3,3,4.0,3.8
Adrian Clayborn,6172,ED,13,ATL,559,132,11,1,3,9,5.0,427,2,0,2,6,2.0,3.8
Elvis Dumervil,3071,ED,8,BLT,255,59,6,0,0,4,1.0e3,196,1,1,3,3,1.7,3.7
Leonard Johnson,7385,CB,10,CAR,420,85,3,2,5,1,2.0,335,21,4,6,10,5.2,3.7
De'Vante Harris,11227,CB,5,NO,100,32,0,0,0,0,,68,8,0,3,2,3.7,3.7
Dashaun Phillips,9198,CB,4,WAS,140,51,2,0,0,2,1.0e3,89,4,2,3,1,3.0,3.7
Andre Hal,8850,S,15,HST,759,276,16,6,4,4,6.5,483,14,1,10,2,2.5,3.6
David Irving,10063,DI,15,DAL,466,120,11,0,2,10,6.5,346,0,2,3,4,1.7,3.6
Damion Square,8042,DI,11,SD,350,173,6,3,4,5,3.3,177,0,1,0,3,1.0e3,3.5
Rob Ninkovich,3080,ED,12,NE,441,155,10,9,5,6,4.8,286,6,2,6,7,2.3,3.5
Johnthan Banks,7824,CB,4,CHI,128,57,1,0,1,0,2.0,71,4,0,1,0,5.0,3.5
Jonathan Jones,11217,CB,5,NE,64,17,2,0,0,1,1.0e3,47,3,0,2,1,2.5,3.5
D.J. Alexander,9605,LB,5,KC,49,34,5,0,1,3,6.0,15,0,0,1,0,1.0,3.5
Brian Robison,3718,ED,16,MIN,800,299,14,4,6,11,4.0,501,1,1,2,9,2.0,3.5
David Bruton,5037,S,4,WAS,223,96,11,0,4,3,3.8,127,7,1,4,1,3.0,3.4
Julian Stanford,7372,LB,7,NYJ,237,78,7,4,1,3,12.0,159,11,0,8,5,2.4,3.4
Za'Darius Smith,9555,ED,13,BLT,471,175,10,7,2,8,9.5,296,2,0,6,1,1.3,3.4
Cliff Avril,4406,ED,16,SEA,784,308,15,5,6,14,4.3,476,1,1,3,13,1.7,3.4
Ron Brooks,7124,CB,6,PHI,222,60,6,0,2,2,4.0,162,7,1,4,2,3.0,3.3
Joe Schobert,10733,ED,13,CLV,234,118,10,1,5,7,3.2,116,4,1,2,3,3.5,3.3
Arik Armstead,9450,DI,8,SF,313,142,8,1,2,6,5.5,171,0,0,2,3,1.0,3.3
Aaron Lynch,8785,ED,7,SF,212,98,6,2,4,6,3.0,114,3,0,1,4,4.0,3.2
Colin Jones,6342,S,2,CAR,13,4,0,0,1,0,1.0,9,1,1,0,0,1.0e3,3.0
Jonathan Anderson,9998,LB,2,CHI,18,16,2,0,0,0,1.0e3,2,0,0,1,0,1.0,3.0
Jordan Dangerfield,8468,S,6,PIT,123,33,0,1,2,0,1.5,90,3,0,0,1,1.0e3,3.0
Jayron Kearse,10878,S,6,MIN,75,33,2,0,1,1,3.0,42,2,0,1,0,3.0,3.0
Kasim Edebali,9011,ED,16,NO,243,80,5,3,2,4,5.0,163,0,0,2,1,1.0,3.0
Lawrence Thomas,11265,DI,3,NYJ,34,16,1,1,0,1,1.0e3,18,0,0,1,0,1.0,3.0
Kamalei Correa,10676,ED,5,BLT,48,29,2,0,0,2,1.0e3,19,0,0,1,0,1.0,3.0
DeAndre Coleman,9157,DI,4,BUF,46,33,1,1,1,1,3.0,13,0,0,0,0,,3.0
Jonathan Meeks,7925,S,13,BUF,82,37,2,0,0,0,1.0e3,45,2,0,2,1,2.0,3.0
Shayne Skov,9317,LB,3,SF,9,5,1,1,1,1,3.0,4,0,0,0,0,,3.0
Jelani Jenkins,7886,LB,9,MIA,349,113,13,6,4,11,5.8,236,9,0,10,3,1.9,3.0
Dwight Freeney,1019,ED,15,ATL,398,65,3,1,1,3,5.0,333,0,0,1,2,1.0,3.0
