year,player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
2017,DeForest Buckner,10641,DI,16,SF,478,475,99.4,4,19,29,52,5.9,206,44.8,1,10,16,27,6.8,254,55.2,3,9,13,25,5.5
2017,Samson Ebukam,11880,ED,16,LA,192,130,67.7,2,2,9,13,5.8,107,82.3,2,2,9,13,7,23,17.7,0,0,0,0,0
2017,Anthony Hitchens,8754,LB,12,DAL,306,26,8.5,0,0,3,3,5.8,16,66.7,0,0,2,2,6.3,8,33.3,0,0,1,1,6.3
2017,B.J. Bello,12097,LB,8,CLV,44,26,59.1,0,1,2,3,5.8,25,96.2,0,1,2,3,6,1,3.8,0,0,0,0,0
2017,Joe Vellano,8264,DI,4,ATL,26,26,100,0,0,3,3,5.8,15,57.7,0,0,0,0,0,11,42.3,0,0,3,3,13.6
2017,Chris Smith,8794,ED,16,CIN,271,251,92.6,4,5,16,25,5.8,210,84,3,3,15,21,5.7,40,16,1,2,1,4,6.3
2017,Chris McCain,9063,ED,15,LAC,155,154,99.4,5,0,8,13,5.8,56,36.4,3,0,3,6,8,98,63.6,2,0,5,7,4.6
2017,Whitney Mercilus,7031,ED,5,HST,114,95,83.3,1,0,9,10,5.8,31,59.6,0,0,4,4,6.5,21,40.4,1,0,2,3,9.5
2017,Erik Walden,4481,ED,16,TEN,346,274,79.2,4,3,21,28,5.8,146,53.5,2,0,12,14,5.5,127,46.5,2,3,9,14,6.3
2017,Jeremiah Valoaga,12194,ED,9,DET,71,70,98.6,1,3,3,7,5.7,39,55.7,1,2,1,4,6.4,31,44.3,0,1,2,3,4.8
2017,Pernell McPhee,6317,ED,13,CHI,226,185,81.9,4,6,7,17,5.7,67,36.4,2,1,2,5,5.2,117,63.6,2,5,5,12,6
2017,Brian Robison,3718,ED,15,MIN,382,369,96.6,5,4,28,37,5.7,315,85.6,4,2,27,33,5.9,53,14.4,1,2,1,4,4.7
2017,Jordan Jenkins,10717,ED,16,NYJ,363,296,81.5,4,5,21,30,5.7,201,68.8,4,3,15,22,6.5,91,31.2,0,2,6,8,4.4
2017,Cornelius Washington,7969,ED,15,DET,285,281,98.6,2,8,20,30,5.7,251,90,1,8,19,28,5.8,28,10,1,0,1,2,5.4
2017,Jerry Hughes,5556,ED,16,BUF,434,427,98.4,4,9,32,45,5.7,1,0.2,0,0,0,0,0,426,99.8,4,9,32,45,5.8
2017,Jason Pierre-Paul,5540,ED,16,NYG,576,551,95.7,9,5,40,54,5.7,464,84.8,9,4,33,46,5.9,83,15.2,0,1,6,7,4.2
2017,Akiem Hicks,7090,DI,16,CHI,505,505,100,9,9,31,49,5.7,480,97.6,9,9,27,45,5.6,12,2.4,0,0,1,1,4.2
2017,Eric Lee,11165,ED,6,NE,168,148,88.1,4,1,8,13,5.7,118,79.7,3,1,6,10,5.5,30,20.3,1,0,2,3,6.7
2017,Tashaun Gipson Sr.,7288,S,16,JAX,581,9,1.5,0,0,1,1,5.6,4,44.4,0,0,1,1,12.5,5,55.6,0,0,0,0,0
2017,Andre Hal,8850,S,16,HST,526,18,3.4,0,1,1,2,5.6,18,100,0,1,1,2,5.6,0,0,0,0,0,0,
2017,Benson Mayowa,8196,ED,14,DAL,214,207,96.7,1,5,16,22,5.6,1,0.5,0,0,0,0,0,206,99.5,1,5,16,22,5.6
2017,Branden Jackson,11394,ED,12,SEA,144,143,99.3,1,1,13,15,5.6,77,54.2,0,0,8,8,5.2,65,45.8,1,1,5,7,6.2
2017,Tyrone Crawford,7083,ED,16,DAL,382,369,96.6,4,7,26,37,5.6,65,17.9,0,1,4,5,3.8,299,82.1,4,6,21,31,5.9
2017,Tank Carradine,7821,ED,8,SF,90,90,100,2,2,4,8,5.6,51,56.7,2,1,3,6,7.8,39,43.3,0,1,1,2,2.6
2017,Rashaad Coward,12168,DI,1,CHI,9,9,100,0,1,0,1,5.6,0,0,0,0,0,0,,9,100,0,1,0,1,5.6
2017,Ha Ha Clinton-Dix,8656,S,16,GB,566,9,1.6,0,0,1,1,5.6,0,0,0,0,0,0,,9,100,0,0,1,1,5.6
2017,Mike Daniels,7132,DI,14,GB,342,340,99.4,6,7,19,32,5.6,174,54.7,1,2,9,12,3.7,144,45.3,5,4,7,16,7.3
2017,Dylan Donahue,11936,ED,4,NYJ,37,36,97.3,0,1,3,4,5.6,24,68.6,0,1,2,3,6.3,11,31.4,0,0,1,1,4.5
2017,Quinten Rollins,9495,CB,6,GB,81,9,11.1,0,0,1,1,5.6,4,44.4,0,0,0,0,0,5,55.6,0,0,1,1,10
2017,Chuck Clark,11941,S,9,BLT,41,9,22,0,0,1,1,5.6,5,55.6,0,0,1,1,10,4,44.4,0,0,0,0,0
2017,Damarious Randall,9463,CB,14,GB,420,18,4.3,0,0,2,2,5.6,9,50,0,0,1,1,5.6,9,50,0,0,1,1,5.6
2017,Arik Armstead,9450,ED,6,SF,149,146,98,1,1,13,15,5.5,102,69.9,1,0,8,9,4.9,44,30.1,0,1,5,6,6.8
2017,Ethan Westbrooks,8976,DI,16,LA,163,163,100,3,1,11,15,5.5,86,53.1,1,0,4,5,3.5,76,46.9,2,1,7,10,7.9
2017,Jurrell Casey,6229,DI,16,TEN,545,543,99.6,7,14,32,53,5.5,242,47.3,1,6,16,23,5,270,52.7,6,7,15,28,6.3
2017,Kenny Clark,10661,DI,15,GB,329,326,99.1,5,4,22,31,5.5,147,45.7,3,2,11,16,6.5,175,54.3,2,1,11,14,4.6
2017,Connor Barwin,4969,ED,14,LA,395,320,81,5,6,19,30,5.5,276,86.3,5,5,17,27,5.8,44,13.8,0,1,2,3,3.4
2017,Haloti Ngata,2957,DI,5,DET,84,82,97.6,2,1,4,7,5.5,75,98.7,1,1,4,6,4.7,1,1.3,0,0,0,0,0
2017,Chris Jones,10671,DI,16,KC,398,398,100,6,5,27,38,5.5,135,34.9,1,1,14,16,6.3,252,65.1,5,4,12,21,5.2
2017,Deatrich Wise Jr.,11886,ED,16,NE,396,393,99.2,6,11,20,37,5.5,123,31.5,1,2,6,9,4.1,268,68.5,5,9,14,28,6.2
2017,Trey Hendrickson,11858,ED,12,NO,185,182,98.4,2,3,13,18,5.5,67,36.8,0,0,3,3,2.2,115,63.2,2,3,10,15,7.4
2017,Freddie Bishop,10338,ED,5,NYJ,48,37,77.1,0,0,4,4,5.4,31,83.8,0,0,4,4,6.5,6,16.2,0,0,0,0,0
2017,Deone Bucannon,8662,LB,12,ARZ,417,56,13.4,1,1,3,5,5.4,21,41.2,0,0,2,2,4.8,30,58.8,0,1,1,2,3.3
2017,Taco Charlton,11783,ED,16,DAL,230,222,96.5,3,4,14,21,5.4,116,52.3,3,3,7,13,6.9,106,47.7,0,1,7,8,3.8
2017,Dee Ford,8658,ED,6,KC,189,158,83.6,2,5,8,15,5.4,35,22.2,0,2,3,5,7.1,123,77.8,2,3,5,10,4.9
2017,Javon Hargrave,10723,DI,16,PIT,220,216,98.2,3,2,15,20,5.3,75,57.3,1,1,1,3,2.7,56,42.7,1,0,2,3,3.6
2017,Will Clarke,8723,ED,15,TB,160,160,100,3,0,11,14,5.3,49,31.6,0,0,3,3,3.1,106,68.4,3,0,8,11,6.6
2017,Jack Crawford,7151,DI,4,ATL,66,66,100,0,3,4,7,5.3,48,72.7,0,1,1,2,2.1,18,27.3,0,2,3,5,13.9
2017,Stephone Anthony,9464,LB,7,MIA,101,19,18.8,0,1,1,2,5.3,11,57.9,0,1,1,2,9.1,8,42.1,0,0,0,0,0
2017,Andre Branch,7042,ED,14,MIA,332,309,93.1,3,5,22,30,5.3,10,3.2,0,1,0,1,5,298,96.8,3,4,22,29,5.4
2017,Leonard Williams,9439,DI,16,NYJ,470,464,98.7,3,17,26,46,5.3,119,28.7,0,8,9,17,7.1,295,71.3,3,7,15,25,4.7
2017,Kelvin Sheppard,6220,LB,7,NYG,216,19,8.8,0,1,1,2,5.3,5,35.7,0,1,0,1,10,9,64.3,0,0,1,1,5.6
2017,Margus Hunt,7834,DI,16,IND,328,324,98.8,1,6,26,33,5.2,222,73,1,4,18,23,5.4,82,27,0,2,5,7,4.3
2017,Shane Ray,9456,ED,8,DEN,189,162,85.7,1,3,12,16,5.2,29,17.9,1,1,4,6,12.1,133,82.1,0,2,8,10,3.8
2017,Justin Hamilton,9732,DI,4,KC,58,58,100,0,0,6,6,5.2,16,29.6,0,0,3,3,9.4,38,70.4,0,0,3,3,3.9
2017,Malcolm Jenkins,4937,S,16,PHI,616,48,7.8,0,3,2,5,5.2,23,47.9,0,2,1,3,6.5,25,52.1,0,1,1,2,4
