player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles
Adolphus Washington,10714,DI,10,BUF,0,0,6,0,38,0,58.7,,,,,,0,0,0,0,0
Austin Hooper,10715,TE,16,ATL,6,1,0,0,0,74,63.5,,,,,,0,0,1,0,0
Le'Raven Clark,10716,G,14,IND,0,0,0,0,0,56,61.9,,,,,,0,0,0,0,0
Jordan Jenkins,10717,ED,16,NYJ,17,59,17,15,35,0,55.1,,59.9,,,,0,0,3,1,0
Kendall Fuller,10718,CB,16,WAS,17,69,71,0,3,0,62.9,,53.4,,,,0,0,1,0,0
Braxton Miller,10719,WR,6,HST,3,0,18,0,0,0,61.1,,61.4,,62.5,,0,0,0,0,0
Leonte Carroo,10720,WR,11,MIA,41,15,28,0,0,0,55.8,,60.0,,,,0,0,0,0,0
Nick Vigil,10721,LB,11,CIN,4,0,1,51,46,0,46.0,,,,,,0,0,2,0,3
Kyler Fackrell,10722,ED,16,GB,84,69,59,72,54,15,55.0,,59.9,,,,1,0,2,1,5
Javon Hargrave,10723,DI,12,PIT,0,0,0,0,20,0,58.6,,,,,,0,0,0,0,0
C.J. Prosise,10724,HB,2,SEA,3,0,6,0,0,0,61.6,,,,,,0,0,0,0,0
Brandon Williams,10726,CB,16,ARZ,78,38,96,38,1,0,60.6,,,,,,2,1,0,2,1
Nick Vannett,10728,TE,15,SEA,68,4,12,80,0,63,61.6,,59.9,,,,0,0,1,1,0
Graham Glasgow,10729,G,16,DET,0,0,0,0,0,77,62.9,,,,,,0,0,0,0,0
Rees Odhiambo,10731,T,7,SEA,0,0,0,0,0,31,62.5,,,,,,0,0,0,0,0
Justin Simmons,10732,S,13,DEN,4,26,23,51,55,0,66.4,,,,,,1,0,6,2,1
Joe Schobert,10733,LB,16,CLV,14,0,22,26,74,0,68.3,,,,,,0,0,1,1,0
Charles Tapper,10735,ED,2,DAL,9,0,0,0,0,0,57.3,,,,,,0,0,0,0,0
Joshua Perry,10736,LB,2,IND,9,9,10,1,0,0,61.7,,,,,,0,0,0,0,0
Sheldon Day,10737,DI,7,SF,14,0,12,0,18,0,57.4,,,,,,0,0,0,0,0
Parker Ehinger,10739,G,1,KC,0,0,0,0,0,5,61.2,,,,,,0,0,0,0,0
Eric Murray,10740,S,14,KC,56,79,46,58,52,0,80.3,,,,,,2,0,5,1,0
Chris Moore,10741,WR,13,BLT,45,62,37,29,1,0,57.3,,73.8,,,,1,0,1,0,0
Ryan Smith,10742,CB,15,TB,25,26,16,19,64,0,85.9,,,,,,1,0,1,0,1
B.J. Goodson,10743,LB,2,NYG,0,0,0,4,8,0,59.3,,,,,,0,0,0,0,0
Tyler Higbee,10744,TE,16,LA,33,0,1,3,0,94,64.6,,,,,,0,0,1,0,0
Miles Killebrew,10745,S,16,DET,58,66,62,75,14,0,76.1,,60.0,,,,1,0,6,1,2
Nick Kwiatkoski,10747,LB,11,CHI,17,11,8,53,11,0,58.7,,,,,,0,0,4,0,3
Ricardo Louis,10748,WR,14,CLV,34,29,26,49,0,0,74.1,,,,,,1,1,5,0,1
De'Vondre Campbell,10749,LB,7,ATL,0,0,8,0,0,0,61.9,,,,,,0,0,0,0,0
Hassan Ridgeway,10750,DI,12,IND,0,0,14,0,63,0,50.6,,,,,,1,0,0,0,0
Pharoh Cooper,10751,WR,16,LA,76,35,79,48,0,0,53.9,,77.8,,68.9,,2,0,0,0,0
Juston Burris,10752,CB,14,NYJ,12,43,37,35,58,0,62.4,,,,,,0,0,3,0,2
Tyler Ervin,10753,WR,4,HST,17,9,18,3,0,0,69.5,,60.0,,64.2,,0,0,2,0,0
David Onyemata,10754,DI,15,NO,0,0,27,0,62,0,60.0,,,,,,1,1,0,0,0
Andrew Billings,10756,DI,1,CIN,0,0,1,0,0,0,60.0,,,,,,0,0,0,0,0
Deon Bush,10758,S,13,CHI,56,51,58,9,9,0,51.7,,,,,,0,0,3,0,1
Antonio Morrison,10759,LB,15,IND,4,0,16,72,71,0,56.1,,,,,,0,0,0,0,0
Demarcus Robinson,10760,WR,9,KC,22,11,7,3,0,0,55.5,,,,60.5,,0,0,0,0,1
Deiondre' Hall,10761,CB,2,CHI,1,10,6,4,0,0,65.6,,,,,,0,0,0,0,0
Evan Boehm,10762,G,14,ARZ,17,0,0,0,0,42,59.2,,,,,,0,0,0,0,0
Derrick Kindred,10763,S,14,CLV,17,43,5,12,64,0,64.1,,,,,,0,0,1,0,0
Blake Martinez,10765,LB,14,GB,39,13,1,61,0,0,58.8,,,,,,0,0,1,0,1
Willie Henry,10766,DI,13,BLT,20,0,0,0,53,0,58.5,,,,,,0,0,0,0,0
Rashard Robinson,10767,CB,14,NYJ,0,17,52,13,32,0,46.2,,,,,,2,0,1,0,1
Devontae Booker,10770,HB,12,DEN,56,27,47,0,0,0,57.9,,58.5,,,,0,0,2,0,1
Dean Lowry,10771,DI,16,GB,0,0,1,0,73,54,45.2,,,,,,2,0,0,0,0
Seth DeValve,10772,TE,16,CLV,87,20,10,80,0,1,52.6,,,,,,0,0,1,0,3
Ronald Blair III,10776,ED,4,SF,9,0,9,0,7,0,64.7,,59.9,,,,0,0,0,0,0
DeAndre Washington,10777,HB,15,OAK,52,13,0,68,0,0,51.6,,62.1,,,,0,0,2,0,2
Connor McGovern,10778,G,13,DEN,0,0,0,1,0,47,37.2,,,,,,0,0,0,0,0
Matthew Judon,10780,ED,16,BLT,54,1,7,26,59,0,68.0,,,,,,0,0,1,1,0
Quinton Jefferson,10781,DI,3,SEA,0,0,5,0,1,0,61.2,,,,,,0,0,0,0,0
Caleb Benenoch,10782,T,13,TB,0,0,0,0,0,48,62.4,,,,,,0,0,0,0,0
Paul Perkins,10783,HB,7,NYG,38,24,30,7,1,0,59.6,,,,,,0,0,0,0,0
Joe Dahl,10785,G,5,DET,13,0,0,0,0,13,52.6,,,,,,0,0,0,0,0
Matt Ioannidis,10786,DI,14,WAS,29,0,18,0,62,40,57.6,,,,,,0,0,0,0,0
Wendell Smallwood,10787,HB,7,PHI,17,3,8,19,0,0,57.1,,57.1,,,,0,0,0,0,0
Joe Haeg,10789,T,15,IND,0,0,0,0,0,59,62.3,,,,,,0,0,0,0,0
LeShaun Sims,10791,CB,13,TEN,34,56,54,34,0,0,44.9,,,,,,2,1,6,0,1
Brandon Shell,10792,T,7,NYJ,0,0,0,0,0,29,62.0,,,,,,0,0,0,0,0
Kentrell Brothers,10794,LB,16,MIN,67,89,79,71,1,0,73.7,,,,,,0,0,9,1,1
Christian Westerman,10795,G,2,CIN,0,0,0,0,0,11,62.0,,,,,,0,0,0,0,0
Trevor Davis,10797,WR,16,GB,59,10,67,34,0,0,67.1,,72.5,,84.2,,0,0,4,0,0
Halapoulivaati Vaitai,10798,T,15,PHI,0,0,0,0,0,80,63.9,,,,,,0,0,0,0,0
Tyreek Hill,10799,WR,15,KC,0,0,63,0,1,0,61.6,,,,72.9,,0,0,0,0,0
D.J. Reader,10800,DI,14,HST,0,0,0,0,56,0,57.7,,,,,,0,0,0,0,0
Marqui Christian,10801,S,12,LA,49,76,53,43,33,0,52.0,,,,,,4,1,2,2,1
Spencer Drango,10802,T,16,CLV,0,0,0,0,0,46,62.1,,,,,,0,0,0,0,0
Alex Collins,10805,HB,5,BLT,14,9,4,0,0,0,63.0,,58.8,,,,1,0,0,0,0
Jatavis Brown,10809,LB,8,LAC,18,28,4,22,0,0,50.0,,,,,,1,0,0,2,3
Andy Janovich,10810,FB,16,DEN,81,73,74,77,0,0,75.5,,59.9,,,,0,0,8,1,1
D.J. White,10812,CB,1,IND,0,0,4,0,0,0,59.9,,,,,,0,0,0,0,0
Drew Kaser,10813,P,16,LAC,0,7,0,76,0,32,63.2,60.5,,59.6,,29.4,2,0,1,0,0
Tyrone Holmes,10815,ED,3,CLV,7,7,3,0,0,0,62.0,,,,,,0,0,1,0,1
