year,player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
2014,Teddy Williams,6073,CB,7,JAX,,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0
2014,Bryan Walters,6139,WR,13,SEA,72.4,28,58.4,2,43,27,21.5,0,0,0,77.7,26,186,21,7.2,0,24,0
2014,James Develin,6142,FB,16,NE,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Marvin Austin,6204,DI,15,DEN,,1,,1,12,12,12,0,0,0,,0,0,0,,0,0,0
2014,Randall Cobb,6216,WR,16,GB,62,15,59.9,1,0,0,0,0,0,1,62.8,14,114,24,8.1,0,9,0
2014,Austin Pettis,6230,WR,5,SL,60.6,1,,0,0,0,,0,0,0,60.7,1,1,1,1,0,0,0
2014,Sam Acho,6255,ED,16,ARZ,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Greg Salas,6264,WR,10,NYJ,,2,,2,8,8,4,0,0,0,,0,0,0,,0,0,0
2014,Chimdi Chekwa,6265,CB,10,OAK,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Bilal Powell,6278,HB,15,NYJ,59.1,2,59.2,2,34,25,17,0,0,0,,0,0,0,,0,0,0
2014,Anthony Sherman,6288,FB,16,KC,,1,,1,13,13,13,0,0,0,,0,0,0,,0,0,0
2014,Karl Klug,6294,DI,16,TEN,,2,,2,32,20,16,0,0,0,,0,0,0,,0,0,0
2014,Jacquizz Rodgers,6297,HB,16,ATL,,1,,1,10,10,10,0,0,0,,0,0,0,,0,0,0
2014,Denarius Moore,6300,WR,10,OAK,46.6,7,,0,0,0,,0,0,0,42.2,7,38,23,5.4,0,6,0
2014,Jeremy Kerley,6305,WR,16,NYJ,56.4,26,58.5,1,12,12,12,0,0,0,56,25,198,41,7.9,0,13,0
2014,Richard Sherman,6306,CB,16,SEA,60.5,1,,0,0,0,,0,0,0,60.5,1,0,0,0,0,1,0
2014,Niles Paul,6307,TE,16,WAS,59.6,2,59.6,2,36,20,18,0,0,0,,0,0,0,,0,0,0
2014,Dwayne Harris,6328,WR,16,DAL,58.5,59,64.1,30,742,42,24.7,0,0,0,51.5,29,285,38,9.8,0,14,0
2014,Jordan Todman,6335,HB,16,JAX,61.8,38,61.7,38,972,40,25.6,0,0,0,,0,0,0,,0,0,0
2014,Bruce Miller,6363,FB,16,SF,60,1,60,1,19,19,19,0,0,0,,0,0,0,,0,0,0
2014,Cliff Matthews,6382,ED,7,ATL,,1,,1,2,2,2,0,0,0,,0,0,0,,0,0,0
2014,Matt Asiata,6432,HB,15,MIN,,4,,4,47,16,11.8,0,0,0,,0,0,0,,0,0,0
2014,Shaun Draughn,6440,HB,10,CLV,57.2,8,57.5,8,173,39,21.6,0,0,0,,0,0,0,,0,0,0
2014,Chris Hogan,6468,WR,16,BUF,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Jeremy Ross,6476,WR,16,DET,57,54,59.4,23,584,41,25.4,0,0,0,55.9,31,286,28,9.2,0,38,0
2014,Tim Barnes,6499,C,14,SL,,1,,1,7,7,7,0,0,0,,0,0,0,,0,0,0
2014,Dane Sanzenbacher,6570,WR,10,CIN,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,DuJuan Harris,6595,HB,15,GB,61.2,21,61.1,21,438,41,20.9,0,0,0,,0,0,0,,0,0,0
2014,Doug Baldwin,6615,WR,16,SEA,58.5,11,59.5,5,81,24,16.2,0,0,0,58.3,6,42,38,7,0,4,0
2014,Justin Trattou,6669,ED,4,MIN,,2,,2,19,13,9.5,0,0,0,,0,0,0,,0,0,0
2014,Kamar Aiken,6671,WR,16,BLT,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Orie Lemon,6800,LB,10,TB,,1,,1,8,8,8,0,0,0,,0,0,0,,0,0,0
2014,Chase Reynolds,6892,HB,15,SL,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Jorvorskie Lane,7002,FB,9,TB,,1,,1,9,9,9,0,0,0,,0,0,0,,0,0,0
2014,Craig Robertson,7003,LB,16,CLV,,1,,1,3,3,3,0,0,0,,0,0,0,,0,0,0
2014,Rueben Randle,7065,WR,16,NYG,60.9,0,,0,0,0,,0,0,0,61.2,0,0,0,,0,10,0
2014,Trumaine Johnson,7067,CB,9,SL,,0,,0,0,0,,0,0,0,,0,0,0,,0,1,0
2014,T.J. Graham,7071,WR,12,NYJ,61.4,6,61.3,6,113,23,18.8,0,0,0,,0,0,0,,0,0,0
2014,T.Y. Hilton,7092,WR,15,IND,58.4,1,58.5,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Chris Givens,7096,WR,14,SL,52.4,5,53.1,5,101,29,20.2,0,0,0,,0,0,0,,0,0,0
2014,Travis Benjamin,7100,WR,16,CLV,41.8,27,58.4,12,246,28,20.5,0,0,0,32.4,15,130,37,8.7,0,8,0
2014,Omar Bolden,7101,CB,15,DEN,86.8,13,84.2,13,429,77,33,0,0,0,,0,0,0,,0,0,0
2014,Kyle Wilber,7113,LB,16,DAL,,1,,1,2,2,2,0,0,0,,0,0,0,,0,0,0
2014,Keshawn Martin,7121,WR,16,HST,65.8,27,59,2,19,19,9.5,0,0,0,68.3,25,154,21,6.2,0,24,0
2014,Rhett Ellison,7128,TE,16,MIN,59.9,2,59.9,2,23,14,11.5,0,0,0,,0,0,0,,0,0,0
2014,Shaun Prater,7149,CB,10,MIN,,1,,1,-11,-11,-11,0,0,0,,0,0,0,,0,0,0
2014,Dan Herron,7179,HB,16,IND,55.9,4,56.3,4,78,32,19.5,0,0,0,,0,0,0,,0,0,0
