player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
J.J. Nelson,9592,WR,15,ARZ,334,67,20.1,86,25.7,15,17.4,8,1,99,1.15,4,11.1,53.3
John Brown,8726,WR,15,ARZ,394,66,16.8,179,45.4,21,11.7,11,0,157,0.88,1,0.0,52.4
Seth Roberts,9079,WR,16,OAK,494,75,15.2,395,80.0,59,14.9,30,7,332,0.84,3,18.9,50.8
Luke Willson,7940,TE,11,SEA,140,19,13.6,29,20.7,2,6.9,1,0,19,0.66,0,0.0,50.0
Rashad Greene Sr.,9572,WR,6,JAX,43,8,18.6,35,81.4,6,17.1,3,0,15,0.43,0,0.0,50.0
Nick O'Leary,9627,TE,16,BUF,156,13,8.3,44,28.2,2,4.5,1,0,8,0.18,0,0.0,50.0
Brittan Golden,7481,WR,8,ARZ,104,14,13.5,38,36.5,4,10.5,2,1,29,0.76,0,33.3,50.0
Quan Bray,9700,WR,3,IND,23,4,17.4,6,26.1,2,33.3,1,0,22,3.67,0,0.0,50.0
Shane Wynn,9780,WR,4,JAX,20,2,10.0,9,45.0,2,22.2,1,0,19,2.11,0,0.0,50.0
Matt Lengel,9884,TE,6,NE,25,3,12.0,7,28.0,2,28.6,1,0,18,2.57,1,0.0,50.0
Jared Abbrederis,8811,WR,3,GB,16,2,12.5,12,75.0,2,16.7,1,0,8,0.67,0,0.0,50.0
Ross Travis,10320,TE,6,KC,37,5,13.5,13,35.1,2,15.4,1,1,4,0.31,0,50.0,50.0
Paul Richardson Jr.,8680,WR,15,SEA,205,32,15.6,30,14.6,4,13.3,2,0,20,0.67,0,0.0,50.0
Tyler Higbee,10744,TE,16,LA,191,26,13.6,43,22.5,2,4.7,1,1,3,0.07,0,50.0,50.0
Mike Tolbert,4740,FB,16,CAR,94,15,16.0,15,16.0,6,40.0,3,2,15,1.0,0,40.0,50.0
Benny Cunningham,8283,HB,11,LA,116,20,17.2,6,5.2,2,33.3,1,0,6,1.0,0,0.0,50.0
Kenneth Dixon,10768,HB,12,BLT,127,40,31.5,4,3.1,2,50.0,1,0,4,1.0,0,0.0,50.0
Josh Hill,8200,TE,9,NO,134,19,14.2,29,21.6,2,6.9,1,0,2,0.07,0,0.0,50.0
Brice Butler,7991,WR,16,DAL,224,30,13.4,62,27.7,6,9.7,3,0,36,0.58,2,0.0,50.0
