player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
Mason Foster,6236,LB,16,WAS,595,82,13.8,1,0,7,8,5.5,39,54.2,0,0,3,3,3.8,33,45.8,1,0,4,5,9.1
Chandler Jones,7027,ED,16,ARZ,513,491,95.7,12,5,25,42,5.5,16,3.3,1,0,0,1,6.3,475,96.7,11,5,25,41,5.5
Trent Murphy,8682,ED,13,BUF,260,242,93.1,5,4,12,21,5.4,238,98.3,5,4,12,21,5.5,4,1.7,0,0,0,0,0.0
Tyrone Crawford,7083,DI,15,DAL,403,401,99.5,6,4,27,37,5.4,160,40.5,3,1,12,16,5.9,235,59.5,3,2,14,19,4.7
Harold Landry III,48600,ED,15,TEN,387,354,91.5,4,8,22,34,5.4,184,52.0,3,3,16,22,6.8,170,48.0,1,5,6,12,3.8
David Irving,10063,DI,2,DAL,37,37,100.0,1,1,1,3,5.4,29,80.6,1,1,1,3,6.9,7,19.4,0,0,0,0,0.0
Sharif Finch,50221,ED,15,TEN,105,92,87.6,2,1,5,8,5.4,35,38.0,1,0,2,3,5.7,57,62.0,1,1,3,5,5.3
Kyle Williams,3079,DI,16,BUF,393,389,99.0,8,7,19,34,5.4,137,36.5,3,1,5,9,4.4,238,63.5,5,5,12,22,5.7
Reggie Gilbert,11147,ED,16,GB,269,225,83.6,3,5,13,21,5.3,133,59.9,3,4,9,16,7.1,89,40.1,0,1,4,5,2.8
Cameron Sutton,11850,CB,10,PIT,178,19,10.7,0,2,0,2,5.3,7,36.8,0,2,0,2,14.3,12,63.2,0,0,0,0,0.0
Devante Bond,10817,LB,10,TB,85,19,22.4,0,1,1,2,5.3,7,36.8,0,0,1,1,7.1,12,63.2,0,1,0,1,4.2
Foyesade Oluokun,24904,LB,16,ATL,282,19,6.7,0,1,1,2,5.3,10,55.6,0,1,1,2,10.0,8,44.4,0,0,0,0,0.0
A'Shawn Robinson,10680,DI,13,DET,189,189,100.0,1,3,15,19,5.3,43,24.9,0,2,5,7,8.1,130,75.1,0,1,8,9,3.5
Stephon Tuitt,8681,DI,14,PIT,446,445,99.8,6,14,21,41,5.3,413,94.1,5,14,17,36,5.0,26,5.9,1,0,4,5,11.5
Dorian O'Daniel,51487,LB,13,KC,232,19,8.2,0,0,2,2,5.3,7,38.9,0,0,1,1,7.1,11,61.1,0,0,1,1,4.5
Vinny Curry,7061,ED,12,TB,261,253,96.9,3,5,16,24,5.3,168,66.4,2,2,11,15,5.1,85,33.6,1,3,5,9,5.9
Shelby Harris,8869,DI,16,DEN,210,209,99.5,3,6,10,19,5.3,63,30.9,0,1,2,3,2.4,141,69.1,3,5,8,16,6.7
Tyquan Lewis,48475,ED,8,IND,199,189,95.0,3,6,8,17,5.3,35,18.5,1,0,1,2,4.3,154,81.5,2,6,7,15,5.5
Brian Orakpo,4936,ED,13,TEN,341,291,85.3,2,6,21,29,5.3,57,19.6,1,2,6,9,8.8,234,80.4,1,4,15,20,4.5
Kony Ealy,8695,ED,3,OAK,29,29,100.0,0,0,3,3,5.2,18,62.1,0,0,2,2,5.6,11,37.9,0,0,1,1,4.5
Gerald McCoy,5528,DI,14,TB,427,426,99.8,6,12,20,38,5.2,333,80.4,5,9,17,31,5.4,81,19.6,1,3,2,6,4.3
Caraun Reid,8793,DI,10,DAL,107,105,98.1,1,2,7,10,5.2,38,37.3,0,0,4,4,5.3,64,62.7,1,2,3,6,5.5
Fred Warner,51222,LB,16,SF,598,67,11.2,0,2,5,7,5.2,31,55.4,0,1,4,5,8.1,25,44.6,0,0,1,1,2.0
