player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Gerald Everett,11799,TE,16,LA,30,16,244,195,1.25
Eric Weems,4097,WR,3,TEN,2,1,5,4,1.25
Larry Pinkard,9930,WR,3,JAX,1,1,5,4,1.25
Tre McBride,9678,WR,7,CHI,15,8,144,116,1.24
Michael Roberts,11882,TE,13,DET,5,4,46,37,1.24
Cody Latimer,8691,WR,11,DEN,27,19,287,231,1.24
Wendell Smallwood,10787,HB,7,PHI,16,13,103,83,1.24
Jamaal Charles,4387,HB,14,DEN,27,23,129,104,1.24
Frank Gore,2282,HB,16,IND,36,29,245,198,1.24
Alan Cross,10931,FB,8,TB,6,5,58,47,1.23
Julius Thomas,6281,TE,14,MIA,59,41,388,316,1.23
C.J. Uzomah,9590,TE,14,CIN,13,10,92,75,1.23
Ty Montgomery,9527,HB,7,GB,26,22,180,148,1.22
Ed Dickson,5595,TE,16,CAR,44,30,437,359,1.22
Kenjon Barner,7963,HB,12,PHI,8,5,56,46,1.22
Darren Sproles,2347,HB,3,PHI,12,7,73,60,1.22
Martellus Bennett,4375,TE,9,NE,41,30,286,235,1.22
Jarius Wright,7118,WR,16,MIN,23,18,198,162,1.22
J.D. McKissic,11047,HB,13,SEA,44,34,266,219,1.21
Devonta Freeman,8738,HB,13,ATL,41,36,317,261,1.21
Chris Hogan,6468,WR,9,NE,58,34,439,363,1.21
Andy Janovich,10810,FB,15,DEN,6,4,35,29,1.21
Seth DeValve,10772,TE,16,CLV,53,33,395,330,1.2
Jacob Hollister,12051,TE,11,NE,9,4,42,35,1.2
Trent Taylor,11932,WR,15,SF,59,43,430,362,1.19
Kerwynn Williams,8013,HB,13,ARZ,15,10,93,79,1.18
Quan Bray,9700,WR,6,IND,3,3,39,33,1.18
Stephen Anderson,11160,TE,15,HST,50,25,342,291,1.18
Jeremy Kerley,6305,WR,8,NYJ,25,22,217,186,1.17
James Hanna,7175,TE,16,DAL,7,4,88,75,1.17
Jason Witten,1384,TE,16,DAL,80,63,560,478,1.17
Tyler Higbee,10744,TE,16,LA,42,25,295,253,1.17
Wayne Gallman,11895,HB,13,NYG,42,34,193,165,1.17
Louis Murphy Jr.,5048,WR,7,SF,16,8,121,103,1.17
Rhett Ellison,7128,TE,16,NYG,28,24,235,203,1.16
Matt Dayes,12006,HB,6,CLV,5,4,29,25,1.16
Javorius Allen,9558,HB,16,BLT,55,46,250,218,1.15
Jaydon Mickens,11371,WR,8,JAX,11,6,77,67,1.15
Brittan Golden,7481,WR,8,ARZ,9,5,70,61,1.15
C.J. Fiedorowicz,8700,TE,5,HST,21,14,127,110,1.15
David Morgan,10822,TE,15,MIN,11,9,90,78,1.15
Tyler Lockett,9502,WR,16,SEA,68,45,555,481,1.15
Sammie Coates,9520,WR,9,CLV,10,6,70,61,1.15
Corey Davis,11760,WR,11,TEN,64,34,375,330,1.14
De'Anthony Thomas,8759,WR,16,KC,16,14,143,125,1.14
Cordarrelle Patterson,7810,WR,16,OAK,41,31,309,273,1.13
Matt Breida,12271,HB,16,SF,34,21,180,159,1.13
Sean McGrath,7515,TE,13,LAC,4,4,46,41,1.12
Shane Vereen,6208,HB,16,NYG,52,44,253,228,1.11
Jimmy Graham,5619,TE,16,SEA,91,56,516,466,1.11
Levine Toilolo,7915,TE,15,ATL,14,12,122,111,1.1
Justin Hardy,9540,WR,16,ATL,29,20,221,201,1.1
Josh Doctson,10656,WR,16,WAS,72,35,502,456,1.1
Shelton Gibson,11921,WR,2,PHI,3,2,11,10,1.1
Greg Olsen,3647,TE,7,CAR,34,17,191,175,1.09
Tyler Boyd,10689,WR,10,CIN,31,22,225,207,1.09
Jacquizz Rodgers,6297,HB,13,TB,11,9,74,68,1.09
Taylor Gabriel,9002,WR,16,ATL,48,33,378,348,1.09
Bilal Powell,6278,HB,15,NYJ,29,23,170,158,1.08
Lawrence Thomas,11265,FB,13,NYJ,7,6,43,40,1.08
Jeff Heuerman,9525,TE,14,DEN,18,9,142,131,1.08
Luke Willson,7940,TE,16,SEA,20,15,153,143,1.07
Derrick Henry,10679,HB,16,TEN,14,11,136,127,1.07
Kasen Williams,10195,WR,7,CLV,17,9,84,79,1.06
Maxx Williams,9488,TE,11,BLT,16,15,86,81,1.06
Tyler Kroft,9518,TE,16,CIN,59,42,404,381,1.06
Darren Fells,8549,TE,16,DET,23,17,177,167,1.06
Orleans Darkwa,9173,HB,15,NYG,26,19,116,109,1.06
Lee Smith,6311,TE,15,OAK,11,8,76,72,1.06
Damiere Byrd,9964,WR,8,CAR,16,10,105,99,1.06
Chester Rogers,10918,WR,11,IND,36,23,284,270,1.05
Keith Smith,9302,FB,11,DAL,5,5,26,25,1.04
Jermaine Gresham,5546,TE,14,ARZ,45,33,322,309,1.04
Chris Conley,9509,WR,5,KC,16,11,175,168,1.04
Brandon LaFell,5602,WR,16,CIN,86,52,548,528,1.04
Corey Coleman,10649,WR,9,CLV,50,23,305,293,1.04
A.J. Derby,9635,TE,11,MIA,38,21,244,234,1.04
Ameer Abdullah,9487,HB,14,DET,31,25,162,158,1.03
Dion Sims,7888,TE,14,CHI,27,15,180,175,1.03
Charles Sims,8704,HB,16,TB,44,34,247,240,1.03
Richard Rodgers,8733,TE,14,GB,17,12,160,155,1.03
Terrelle Pryor Sr.,6944,WR,9,WAS,35,20,240,236,1.02
Chris Moore,10741,WR,12,BLT,34,18,248,242,1.02
Demetrius Harris,8524,TE,16,KC,34,18,224,219,1.02
Donte Moncrief,8725,WR,12,IND,41,26,391,384,1.02
Tanner McEvoy,11288,WR,15,SEA,9,5,113,111,1.02
Ross Travis,10320,TE,14,IND,16,7,76,75,1.01
Pharoh Cooper,10751,WR,16,LA,18,11,84,83,1.01
Bruce Ellington,8741,WR,11,HST,50,29,330,328,1.01
Kenny Britt,4953,WR,12,NE,40,20,256,253,1.01
