year,player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
2019,Bobby Wagner,7050,LB,16,SEA,638,78,12.2,2,2,9,13,9.6,26,44.8,0,2,3,5,9.6,32,55.2,0,0,6,6,9.4
2019,Matt Milano,11918,LB,15,BUF,539,79,14.7,2,4,7,13,9.5,38,48.7,2,4,3,9,14.5,40,51.3,0,0,3,3,3.8
2019,Vinny Curry,7061,ED,16,PHI,248,243,98,5,7,29,41,9.5,114,46.9,1,6,13,20,9.2,129,53.1,4,1,16,21,9.7
2019,A.J. Klein,7930,LB,15,NO,448,84,18.8,3,2,8,13,9.5,47,57.3,0,1,4,5,5.3,35,42.7,3,0,4,7,14.3
2019,Josh Bynes,6503,LB,12,BLT,187,32,17.1,1,1,3,5,9.4,12,48,0,0,1,1,4.2,13,52,1,0,0,1,7.7
2019,Anthony Levine,6013,S,14,BLT,142,32,22.5,0,3,3,6,9.4,5,16.7,0,1,0,1,10,25,83.3,0,2,3,5,10
2019,Rodney McLeod,7271,S,16,PHI,635,32,5,0,0,6,6,9.4,15,48.4,0,0,3,3,10,16,51.6,0,0,2,2,6.3
2019,Jomal Wiltz,12259,CB,14,MIA,358,16,4.5,0,0,3,3,9.4,6,37.5,0,0,1,1,8.3,10,62.5,0,0,2,2,10
2019,Shaquil Barrett,9000,ED,16,TB,590,538,91.2,20,18,43,81,9.4,231,43.1,7,11,26,44,11,305,56.9,13,7,17,37,8.2
2019,Devin White,43089,LB,13,TB,515,80,15.5,3,2,7,12,9.4,23,37.7,2,1,1,4,13,38,62.3,0,1,3,4,5.3
2019,Alexander Johnson,15267,LB,12,DEN,441,91,20.6,2,2,11,15,9.3,42,46.2,1,1,6,8,10.7,49,53.8,1,1,5,7,8.2
2019,Jaylon Smith,10668,LB,16,DAL,590,65,11,3,0,6,9,9.2,29,46,2,0,1,3,8.6,34,54,1,0,4,5,8.8
2019,Robert Quinn,6166,ED,14,DAL,376,374,99.5,12,12,33,57,9.2,0,0,0,0,0,0,,374,100,12,12,33,57,9.2
2019,Kenny Vaccaro,7796,S,16,TEN,640,60,9.4,1,5,4,10,9.2,24,40.7,1,0,2,3,8.3,35,59.3,0,5,2,7,10
2019,Joey Bosa,10637,ED,16,LAC,459,458,99.8,12,17,43,72,9.2,242,52.8,8,9,24,41,10.1,216,47.2,4,8,19,31,8.1
2019,Christian Miller,50078,ED,7,CAR,53,49,92.5,2,0,5,7,9.2,26,53.1,0,0,2,2,3.8,23,46.9,2,0,3,5,15.2
2019,Ja'Whaun Bentley,50966,LB,15,NE,143,33,23.1,0,1,5,6,9.1,16,64,0,0,3,3,9.4,9,36,0,1,0,1,5.6
